oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
962235;Empresa 1272;10/05/2022;10/05/2022;10/05/2022;10/05/2022;158072;Projeto em andamento;NV - 0022658;Revenda;;;;Cotação;;Boleto;Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Preto;4533174812;200;Vendedor G
962235;Empresa 1272;10/05/2022;10/05/2022;10/05/2022;10/05/2022;120012;Projeto em andamento;NV - 0022661;Revenda;;;;Cotação;;Boleto;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Azul;4342102787;200;Vendedor G
962235;Empresa 1272;10/05/2022;10/05/2022;10/05/2022;10/05/2022;120000;Projeto em andamento;NV - 0022659;Revenda;;;;Cotação;;Boleto;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Preto;4342102701;200;Vendedor G
962235;Empresa 1272;10/05/2022;10/05/2022;10/05/2022;10/05/2022;158040;Projeto em andamento;NV - 0022657;Revenda;;;;Cotação;;Boleto;Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM -Azul;4533175073;200;Vendedor G
962237;Empresa 3251;10/05/2022;10/05/2022;16/05/2022;16/05/2022;37899.9;Fechada e Perdida;NV - 0022655;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;"iPhone 11 Apple (64GB) Branco Tela 6,1"" 4G Câmera 12MP iOS";1614132374;10;Vendedor S
962181;Empresa 3252;10/05/2022;10/05/2022;16/05/2022;16/05/2022;11699.1;Fechada e Perdida;NV - 0022633;Uso e consumo;;UTILIDADES DOMESTICAS;Cliente - Desistência da compra;Cotação;;Boleto;Faqueiro Inox 60pc Buzios Tramontina;134513776;90;Vendedor S
962012;Empresa 2597;09/05/2022;10/05/2022;20/05/2022;20/05/2022;12402.4;Projeto em andamento;NV - 0022552;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A03 Core 32GB;4342102701;20;Vendedor C
962054;Empresa 129;09/05/2022;10/05/2022;;17/05/2022;900956;Fechada e Perdida;NV - 0022561;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;Faturado;"Smartphone Samsung Galaxy A13 128GB 4G Wi-Fi Tela 6.6"" Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Preto";4807381481;644;Vendedor C
961611;Empresa 2394;06/05/2022;10/05/2022;17/05/2022;17/05/2022;16058.46;Projeto em andamento;NV - 0022524;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB ...;2969966925;10;Vendedor E
962243;Empresa 3253;10/05/2022;10/05/2022;16/05/2022;16/05/2022;190925.1;Fechada e Perdida;NV - 0022668;Uso e consumo;;PCS;Cliente - Desistência da compra;Cotação;;Boleto;"MacBook Pro Apple 13,3"" Intel Core i5 (16GB 1TB) Prateado";1756005371;10;Vendedor S
